"region","date","N","Mean","SD","Min","Max"
"North America",2007,2,54901.6846339973,7068.2988134878,45889.5621291537,55885.6461740938
"North America",2008,2,54483.4046545502,6771.23780983164,45851.2019282813,55427.1782729987
"North America",2009,2,52575.3572801489,6725.02226529272,44004.3141019538,53514.9317967918
"North America",2010,2,53554.8870340038,6822.19883926687,44862.4194958293,54510.4656195265
"North America",2011,2,54048.0111263539,6456.8039203255,45823.1642403883,54954.4639140964
"North America",2012,2,54833.9476994415,6838.04645231535,46126.5138859002,55796.9719189018
"North America",2013,2,55460.4393055156,6878.42755228767,46704.7622355677,56432.3277678137
"North America",2014,2,56326.3861173356,6885.09258699147,47564.609109622,57301.6004243398
"North America",2015,2,57329.051448367,7706.44735908915,47522.1406673151,58420.7030402533
"North America",2016,2,57809.0158848675,8137.66919580876,47457.5853457244,58965.9874885429
"North America",2017,2,58736.5662803008,8195.77748775103,48317.1745835151,59907.7542608847
"North America",2018,2,60086.8928003015,8758.20697425008,48962.4815108923,61348.4565959474
"North America",2019,2,61104.7772480305,9401.16345687383,49175.6770500696,62470.9299128669
"North America",2020,2,58721.2781975769,9883.33959603703,46181.7575545756,60158.9104528302
"South Asia",1990,6,1967.14798596519,968.809337150305,1554.6020430045,4040.02841677856
"South Asia",1991,6,1964.39372849256,1004.3254544683,1611.35951270409,4174.30886589771
"South Asia",1992,6,2034.78526972962,1053.53422909515,1631.23071546147,4306.58055364105
"South Asia",1993,6,2078.58596366213,1124.04954090776,1649.00812815004,4551.78623130696
"South Asia",1994,6,2156.31304223615,1169.43359177744,1741.30936074927,4757.01039995427
"South Asia",1995,7,2258.0365178777,3049.60764806934,1760.44496326133,10430.7886458859
"South Asia",1996,7,2361.42236380576,3231.06809675079,1815.31261605463,11010.3093903623
"South Asia",1997,7,2400.53393916363,3473.21015105831,1868.78380001851,11704.3145588578
"South Asia",1998,7,2482.26085567857,3695.09232600062,1888.28753439878,12362.9673929364
"South Asia",1999,7,2618.17371133557,3869.70768801319,1935.69172289544,12922.7995661622
"South Asia",2000,7,2673.14088074173,3963.21118979036,2020.85543799847,13210.9649888979
"South Asia",2001,7,2738.64211742901,3667.89357260721,2084.19999914237,12477.2248601651
"South Asia",2002,7,2784.88700319013,3904.47830425543,2055.72271598852,13156.9920094023
"South Asia",2003,7,2933.8479989953,4430.07340774919,2107.64096538593,14717.2426977368
"South Asia",2004,7,3101.47677737612,4619.7340541859,2179.09301500341,15351.6955269511
"South Asia",2005,7,3279.8876802109,3816.15784102293,2230.78916047975,13124.0568112964
"South Asia",2006,7,3475.51046582422,4841.95168422956,2285.51221350898,16162.2823755567
"South Asia",2007,7,3669.90305728733,5045.5721734142,2346.25922292834,16834.7443882095
"South Asia",2008,7,3734.76939509275,5362.2368261239,2473.94174345508,17788.325753331
"South Asia",2009,7,3933.31965059274,4696.31027792256,2572.17507968776,15927.7959309328
"South Asia",2010,7,4163.1986496963,4899.59666207857,2682.69869762644,16492.5312179554
"South Asia",2011,7,4314.9787515614,5191.27239039737,2763.82832305733,17290.2090587306
"South Asia",2012,7,4486.60740896036,5166.59173401705,2886.09752232317,17126.3408037059
"South Asia",2013,7,4696.01013676646,5343.78545845264,2982.28699974016,17768.608555517
"South Asia",2014,7,4961.1473706195,5522.14432184984,3152.29326141144,18338.3231957465
"South Asia",2015,7,5264.63211697188,5420.65582824298,3260.03499803884,18051.0702823842
"South Asia",2016,7,5604.40250933916,5553.09579421567,3244.67429976078,18406.2683480919
"South Asia",2017,7,5901.50298084414,5729.57714657944,3495.52880048305,18973.5689598296
"South Asia",2018,7,6206.62467590653,5886.50704451484,3719.30777543436,19789.4897100629
"South Asia",2019,7,6381.45235031083,6048.84089968344,3922.08133124638,20574.4044296743
"South Asia",2020,7,6021.35231021282,4000.82332647935,3761.80278751871,13419.3345511644
