"estimate","region","date","pop","gdp","lifeex","pov_intl"
"Min","Latin America & Caribbean",2021,564124917,2881.17657533473,63.192,0.001121549992
"Min","Middle East & North Africa",1990,231523697,4119.8720703125,55.498,0
"Min","Middle East & North Africa",1991,238222973,2650.08686860807,55.156,0
"Min","Middle East & North Africa",1992,244294458,3410.74050793459,54.452,0
"Min","Middle East & North Africa",1993,249720886,4085.70141601563,55.774,0
"Min","Middle East & North Africa",1994,255026070,3951.20549285021,55.505,0
"Min","Middle East & North Africa",1995,260577063,4047.12848777267,56.302,0
"Min","Middle East & North Africa",1996,266060592,3916.92577525948,56.186,0
"Min","Middle East & North Africa",1997,271629235,4294.74609802983,55.967,0
"Min","Middle East & North Africa",1998,277235328,4702.23486328125,56.176,0
"Min","Middle East & North Africa",1999,282909004,4715.12158203125,56.427,0
"Min","Middle East & North Africa",2000,288698740,4503.24884871918,56.573,0
"Min","Middle East & North Africa",2001,294554395,3980.93334903897,56.903,0
"Min","Middle East & North Africa",2002,300008291,3395.85502779122,57.215,0
"Min","Middle East & North Africa",2003,305461979,3774.13239294371,57.595,0
"Min","Middle East & North Africa",2004,311461824,4485.52545771034,57.759,0
"Min","Middle East & North Africa",2005,317725514,4866.02847430128,58.316,0
"Min","Middle East & North Africa",2006,324367659,4695.99472699102,58.715,0
"Min","Middle East & North Africa",2007,331442663,4750.92969249725,59.024,0
"Min","Middle East & North Africa",2008,338771798,4965.37294950639,59.365,0
"Min","Middle East & North Africa",2009,346205567,5250.11607535578,59.673,0
"Min","Middle East & North Africa",2010,353341221,5411.0664822782,60.259,0
"Min","Middle East & North Africa",2011,360339303,5782.68959325891,60.433,0
"Min","Middle East & North Africa",2012,367365349,5985.68324726688,60.848,0
"Min","Middle East & North Africa",2013,374562318,3664.26803619943,61.221,0
"Min","Middle East & North Africa",2014,382144801,3854.26995628598,61.641,0
"Min","Middle East & North Africa",2015,389687156,4073.62245479949,61.957,0
"Min","Middle East & North Africa",2016,396767961,4291.2973762258,62.191,0
"Min","Middle East & North Africa",2017,403478756,4451.68384614482,62.797,0
"Min","Middle East & North Africa",2018,410405150,4589.37832627416,63.038,0
"Min","Middle East & North Africa",2019,417460034,4768.11300470727,63.085,0
"Min","Middle East & North Africa",2020,19017721,39680.6658703571,78.946,0
"Min","North America",1990,277314138,34562.8663465938,75.2146341463415,0.00497143244
"Min","North America",1991,281018420,33423.884517918,75.3658536585366,0.004993872104
"Min","North America",1992,284885264,33327.9474636636,75.6170731707317,0.004978993377
"Min","North America",1993,288603764,33840.8182551814,75.419512195122,0.004996585547
"Min","North America",1994,292126663,34976.5928677945,75.619512195122,0.004997927894
"Min","North America",1995,295580311,35549.0930280333,75.6219512195122,0.004999813703
"Min","North America",1996,299004218,35749.0452515392,76.0268292682927,0.00249517821
"Min","North America",1997,302562948,36910.477860824,76.4292682926829,0.002477114765
"Min","North America",1998,306009173,38031.624764122,76.5804878048781,0.004996556334
"Min","North America",1999,309441286,39671.3846482747,76.5829268292683,0.004909630583
"Min","North America",2000,312848141,41338.6470179142,76.6365853658537,0.002478208947
"Min","North America",2001,315989857,41623.9503409049,76.8365853658537,0.002493815574
